,PERMIT_TYPE,REVIEW_TYPE,PROCESSING_TIME,BUILDING_FEE_PAID,ZONING_FEE_PAID,OTHER_FEE_PAID,SUBTOTAL_PAID,BUILDING_FEE_UNPAID,ZONING_FEE_UNPAID,OTHER_FEE_UNPAID,SUBTOTAL_UNPAID,BUILDING_FEE_WAIVED,ZONING_FEE_WAIVED,OTHER_FEE_WAIVED,SUBTOTAL_WAIVED,TOTAL_FEE,REPORTED_COST,COMMUNITY_AREA,CENSUS_TRACT,WARD,IS_PERMIT_VALID
4749,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,1,450.0,0.0,0.0,450.0,0.0,0,0.0,0.0,0.0,0,0,0.0,450.0,2000075.0,30,843500,12,1
4753,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,62,675.0,0.0,0.0,675.0,0.0,0,0.0,0.0,0.0,0,0,0.0,675.0,29000.0,28,833000,27,1
4756,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,22,675.0,0.0,0.0,675.0,0.0,0,0.0,0.0,0.0,0,0,0.0,675.0,19000.0,67,834900,16,1
4761,PERMIT - ELECTRIC WIRING,FIRE PROTECTION SYSTEM,34,675.0,0.0,0.0,675.0,0.0,0,0.0,0.0,0.0,0,0,0.0,675.0,15000.0,6,62100,44,1
4763,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,5,300.0,75.0,0.0,375.0,0.0,0,0.0,0.0,0.0,0,0,0.0,375.0,4200.0,15,151100,36,1
4764,PERMIT - SIGNS,SIGN PERMIT,1,100.0,200.0,0.0,300.0,0.0,0,0.0,0.0,0.0,0,0,0.0,300.0,15000.0,59,840300,12,1
4766,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,2,300.0,75.0,0.0,375.0,0.0,0,0.0,0.0,0.0,0,0,0.0,375.0,17540.0,61,843800,3,1
4776,PERMIT - RENOVATION/ALTERATION,STANDARD PLAN REVIEW,53,300.0,100.0,0.0,400.0,1066.54,0,0.0,1066.54,0.0,0,0,0.0,1466.54,175000.0,7,71000,43,1
4777,PERMIT - NEW CONSTRUCTION,STANDARD PLAN REVIEW,64,2000.0,75.0,1878.0,3953.0,0.0,0,0.0,0.0,0.0,0,0,0.0,3953.0,350000.0,42,834400,5,1
4780,PERMIT - EASY PERMIT PROCESS,EASY PERMIT,22,552.0,50.0,0.0,602.0,0.0,0,0.0,0.0,0.0,0,0,0.0,602.0,30100.0,6,61902,44,1
